GEOFIPS,Geo_QName,Geo_NAME,Occupied Housing Units,Owner Occupied,Renter Occupied,Median Value
06037119341,"Census Tract 1193.41, Los Angeles County, California",Census Tract 1193.41,857,343,514,408900
06037119342,"Census Tract 1193.42, Los Angeles County, California",Census Tract 1193.42,782,384,398,338700
06037119400,"Census Tract 1194, Los Angeles County, California",Census Tract 1194,1147,999,148,555200
06037119700,"Census Tract 1197, Los Angeles County, California",Census Tract 1197,1301,1066,235,604200
06037119801,"Census Tract 1198.01, Los Angeles County, California",Census Tract 1198.01,618,504,114,543200
06037119802,"Census Tract 1198.02, Los Angeles County, California",Census Tract 1198.02,810,566,244,539900
06037119900,"Census Tract 1199, Los Angeles County, California",Census Tract 1199,1260,1002,258,500500
06037120010,"Census Tract 1200.10, Los Angeles County, California",Census Tract 1200.10,761,310,451,493800
06037120020,"Census Tract 1200.20, Los Angeles County, California",Census Tract 1200.20,1256,220,1036,531700
06037120030,"Census Tract 1200.30, Los Angeles County, California",Census Tract 1200.30,702,35,667,588000
06037120103,"Census Tract 1201.03, Los Angeles County, California",Census Tract 1201.03,847,61,786,450000
06037120104,"Census Tract 1201.04, Los Angeles County, California",Census Tract 1201.04,794,75,719,463700
06037120105,"Census Tract 1201.05, Los Angeles County, California",Census Tract 1201.05,851,239,612,464600
06037120106,"Census Tract 1201.06, Los Angeles County, California",Census Tract 1201.06,1318,304,1014,
06037120107,"Census Tract 1201.07, Los Angeles County, California",Census Tract 1201.07,1116,49,1067,425000
06037120108,"Census Tract 1201.08, Los Angeles County, California",Census Tract 1201.08,1399,469,930,346900
06037120300,"Census Tract 1203, Los Angeles County, California",Census Tract 1203,1424,928,496,573800
06037120400,"Census Tract 1204, Los Angeles County, California",Census Tract 1204,2099,728,1371,566000
06037121010,"Census Tract 1210.10, Los Angeles County, California",Census Tract 1210.10,1258,895,363,604900
06037121020,"Census Tract 1210.20, Los Angeles County, California",Census Tract 1210.20,1055,623,432,611100
06037121101,"Census Tract 1211.01, Los Angeles County, California",Census Tract 1211.01,949,374,575,471900
