"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Total Population","Housing Units","Housing Units","Housing Units: Occupied","Housing Units: Vacant","Average Commute to Work (in Min)","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2021]","Occupied Housing Units","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T013_012,SE_T013_013,SE_T013_014,SE_T013_015,SE_T013_016,SE_T013_017,SE_T001_001,SE_T155_001,SE_T157_001,SE_T157_002,SE_T157_003,SE_T198_001,SE_T163_001,SE_T156_001,SE_T156_002,SE_T156_003
"06037104401","Census Tract 1044.01","Census Tract 1044.01, Los Angeles County, California","00","06","037","104401",3208,152.9255,109.0953,11.93131,8.401918,14.64435,0,0.3097731,8.54283,3055.075,1138.32,15.65868,46.01878,0.3097731,1.239092,1684.026,169.5022,3208,628.46181520372,628.46181520372,608.447285328475,20.0145298752453,32,220996.473918073,608.447285328475,364.36776657488,244.079518753595
"06037104403","Census Tract 1044.03","Census Tract 1044.03, Los Angeles County, California","00","06","037","104403",2774.209,165.747,119.0236,13.98844,7.891749,17.11623,1.546569,0,6.180386,2608.462,901.7886,12.88981,39.26779,0.6186277,4.639708,1503.59,145.6678,2774.20941822903,559.92967223796,559.92967223796,536.289081726105,23.640590511855,27,220320.943244995,536.289081726105,318.705575143417,217.583506582688
"06037104404","Census Tract 1044.04","Census Tract 1044.04, Los Angeles County, California","00","06","037","104404",3243,156.2861,112.4079,11.76356,8.523695,14.53245,0,0.296466,8.761991,3086.714,1151.655,16.02039,47.3519,0.296466,1.185864,1698.846,171.3577,3243,635.977931498435,635.977931498435,615.547459918185,20.4304715802493,32,220739.471113073,615.547459918185,366.506481825817,249.040978092369
"06037104500","Census Tract 1045","Census Tract 1045, Los Angeles County, California","00","06","037","104500",3030,186.9136,121.275,23.12977,8.751805,26.88054,3.125645,0,3.750774,2843.086,894.5595,10.62719,30.00619,1.250258,9.376934,1739.109,158.1576,3030,617.002269445018,617.002269445018,588.246337940995,28.7559315040231,24,224162.121052901,588.246337940995,378.828141118218,209.418196822777
"06037104610","Census Tract 1046.10","Census Tract 1046.10, Los Angeles County, California","00","06","037","104610",3600,147,75,6,11,40,0,0,15,3453,1372,6,26,0,0,1932,117,3600,788,788,753,35,31,212108.071290782,753,352,401
"06037104620","Census Tract 1046.20","Census Tract 1046.20, Los Angeles County, California","00","06","037","104620",3417,130,91,6,14,11,0,2,6,3287,1241,6,56,6,0,1835,143,3417,692,692,675,17,25,211159.907405594,675,476,199
"06037104701","Census Tract 1047.01","Census Tract 1047.01, Los Angeles County, California","00","06","037","104701",4168,203,48,130,4,10,1,0,10,3965,1418,15,19,0,0,2333,180,4168,868,868,851,17,35,206537.986039518,851,196,655
"06037104703","Census Tract 1047.03","Census Tract 1047.03, Los Angeles County, California","00","06","037","104703",2770,728.5516,226.4836,406.5203,16.80933,38.48451,0.8847014,6.63526,32.73395,2041.448,773.6714,19.02108,37.15746,0,3.096455,1118.263,90.23954,2770,752.438518045352,752.438518045352,720.589268604279,31.8492494410731,28,123064.627963311,720.589268604279,417.136697540721,303.452571063558
"06037104704","Census Tract 1047.04","Census Tract 1047.04, Los Angeles County, California","00","06","037","104704",3492,918.4484,285.5164,512.4797,21.19067,48.51549,1.115299,8.36474,41.26605,2573.552,975.3286,23.97892,46.84254,0,3.903545,1409.737,113.7605,3492,948.561481954648,948.561481954648,908.410731395721,40.1507505589269,28,123064.627963311,908.410731395721,525.863302459279,382.547428936442
"06037104810","Census Tract 1048.10","Census Tract 1048.10, Los Angeles County, California","00","06","037","104810",5101,491,302,43,4,94,6,2,40,4610,1668,17,55,8,7,2697,158,5101,1116,1116,1056,60,27,206368.905748267,1056,723,333
