"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Total Population","Housing Units","Housing Units","Housing Units: Occupied","Housing Units: Vacant","Average Commute to Work (in Min)","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2021]","Occupied Housing Units","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T013_012,SE_T013_013,SE_T013_014,SE_T013_015,SE_T013_016,SE_T013_017,SE_T001_001,SE_T155_001,SE_T157_001,SE_T157_002,SE_T157_003,SE_T198_001,SE_T163_001,SE_T156_001,SE_T156_002,SE_T156_003
"06037407302","Census Tract 4073.02","Census Tract 4073.02, Los Angeles County, California","00","06","037","407302",3445.424,522.1774,258.4682,52.09984,6.017213,185.5348,0.002295103,2.003443,18.05164,2923.247,1343.194,15.01492,34.06885,24.00459,2,1338.712,166.2525,3445.42447629548,741.216404669602,741.216404669602,734.192306086525,7.02409858307702,27,234842.84546389,734.192306086525,630.996074767183,103.196231319341
"06037407400","Census Tract 4074","Census Tract 4074, Los Angeles County, California","00","06","037","407400",2024.839,1081.561,290.3916,133.3431,6.914086,606.4641,0.9877265,2.96318,40.49679,943.2788,461.2683,1.975453,10.86499,0,0,423.7347,45.43542,2024.83940901841,536.335511754632,536.335511754632,529.42142596774,6.91408578689213,37,271314.643076963,529.42142596774,469.17010696768,60.25131900006
"06037407501","Census Tract 4075.01","Census Tract 4075.01, Los Angeles County, California","00","06","037","407501",4317.282,1104.481,460.0403,107.8059,19.193,455.3994,2.714181,2.209607,57.11874,3212.8,1131.01,7.040203,30.41971,4.820836,0.5438088,1873.029,165.9362,4317.28159125938,1000.02721243043,1000.02721243043,981.329063609763,18.6981488206667,30,240670.77251082,981.329063609763,635.960767806454,345.368295803309
"06037407502","Census Tract 4075.02","Census Tract 4075.02, Los Angeles County, California","00","06","037","407502",3800,961.5366,402.1314,93.2342,16.95167,395.0682,2.354399,1.883519,49.91326,2838.463,996.8525,6.121437,26.84015,4.237918,0.4708798,1657.497,146.4436,3800,878.190830235439,878.190830235439,861.710037174721,16.4807930607187,30,240337.897992084,861.710037174721,557.521685254027,304.188351920694
"06037407601","Census Tract 4076.01","Census Tract 4076.01, Los Angeles County, California","00","06","037","407601",4656,810.0007,336.3609,66.72524,22.97099,316.6714,5.469282,4.922354,56.88054,3845.999,1384.822,13.67321,30.08105,2.734641,1.093856,2199.745,213.8489,4656,1125.57829202396,1125.57829202396,1099.32573710795,26.2525549160108,30,231762.603707249,1099.32573710795,577.009279924821,522.316457183132
"06037407602","Census Tract 4076.02","Census Tract 4076.02, Los Angeles County, California","00","06","037","407602",3762.7,654.594,271.8267,53.92334,18.56377,255.9149,4.419946,3.977952,45.96744,3108.106,1119.13,11.04987,24.3097,2.209973,0.8839892,1777.702,172.8199,3762.70012688865,909.624910270978,909.624910270978,888.409168923549,21.215741347428,30,231762.603707249,888.409168923549,466.304315032012,422.104853891537
"06037407701","Census Tract 4077.01","Census Tract 4077.01, Los Angeles County, California","00","06","037","407701",5796.077,887.2819,203.5612,93.42393,14.79118,504.0463,5.92423,11.79997,53.7351,4908.795,1458.041,17.76299,56.14441,12.90372,1.064958,3159.497,203.381,5796.07705649168,1223.74889758814,1223.74889758814,1209.61534872815,14.1335488599968,30,236661.342807252,1209.61534872815,557.325185104603,652.290163623545
"06037407702","Census Tract 4077.02","Census Tract 4077.02, Los Angeles County, California","00","06","037","407702",6441.031,1553.453,621.5549,155.428,12.97181,654.4409,5.932875,6.921819,96.20289,4887.577,2134.403,16.83069,42.77547,19.81167,8.905806,2362.868,301.9828,6441.03057913698,1667.96505186636,1667.96505186636,1622.36527362539,45.5997782409747,32,224308.538833803,1622.36527362539,1203.31781914505,419.047454480331
"06037407801","Census Tract 4078.01","Census Tract 4078.01, Los Angeles County, California","00","06","037","407801",4876.613,1112.175,512.1257,129.0746,15.66906,379.1923,8.710717,12.1905,55.21172,3764.438,1442.032,6.973567,56.27462,9.303367,0.001826823,2055.496,194.3567,4876.61272874036,1060.17609368796,1060.17609368796,1040.42729604858,19.7487976393835,33,242100.301501297,1040.42729604858,889.277732555168,151.149563493413
"06037407802","Census Tract 4078.02","Census Tract 4078.02, Los Angeles County, California","00","06","037","407802",3634.269,822.9587,378.3322,94.8623,11.82854,281.3658,6.421778,8.932887,41.21515,2811.311,1075.403,5.345052,41.42707,6.80866,0.0364049,1536.743,145.5477,3634.26929397438,792.565009965364,792.565009965364,777.677055900323,14.8879540650411,33,242007.187554645,777.677055900323,657.204065843162,120.47299005716
"06037407900","Census Tract 4079","Census Tract 4079, Los Angeles County, California","00","06","037","407900",6011.015,2142.649,636.8957,298.951,20.99656,1018.833,11.99803,12.99787,141.9767,3868.366,1471.759,12.99787,52.99132,35.9941,3.999345,2084.659,205.9663,6011.01539997227,1403.77006346658,1403.77006346658,1392.77186496364,10.9981985029433,33,255943.623903283,1392.77186496364,1168.80854999461,223.963314969027
"06037408003","Census Tract 4080.03","Census Tract 4080.03, Los Angeles County, California","00","06","037","408003",4838.985,2432.444,721.1739,362.1805,13.41572,1177.254,13.41424,14.05309,130.9526,2406.541,1127.511,15.96913,29.38795,26.83045,1.916695,1096.955,107.9706,4838.98460002773,1414.26716425619,1414.26716425619,1379.13797001986,35.1291942363307,33,252438.182563273,1379.13797001986,974.816928553247,404.321041466617
"06037408004","Census Tract 4080.04","Census Tract 4080.04, Los Angeles County, California","00","06","037","408004",2732.387,1373.588,407.2429,204.5232,7.574935,664.7907,7.574935,7.935646,73.94579,1358.799,636.6553,9.01778,16.59271,15.14987,1.082134,619.3411,60.96019,2732.38727125964,798.614576708758,798.614576708758,778.775461207863,19.8391155008951,33,252436.054540521,778.775461207863,550.445277352107,228.330183855756
"06037408005","Census Tract 4080.05","Census Tract 4080.05, Los Angeles County, California","00","06","037","408005",4141,2653.486,840.372,339.8004,5.578812,1336.379,9.128965,12.17195,110.0547,1487.514,622.7983,19.27226,15.72211,18.25793,1.014329,716.1166,94.33264,4141,1264.86883037355,1264.86883037355,1229.36729944887,35.5015309246785,34,402330.44922769,1229.36729944887,779.005021432945,450.362278015921
"06037408006","Census Tract 4080.06","Census Tract 4080.06, Los Angeles County, California","00","06","037","408006",4008.555,2568.617,813.4937,328.9323,5.400381,1293.637,8.836987,11.78265,106.5348,1439.938,602.8789,18.65586,15.21925,17.67397,0.9818874,693.2125,91.31553,4008.55533645214,1224.41359572708,1224.41359572708,1190.04753650459,34.3660592224923,34,402330.449227689,1190.04753650459,754.089528082118,435.958008422474
"06037408133","Census Tract 4081.33","Census Tract 4081.33, Los Angeles County, California","00","06","037","408133",5833.801,3241.59,613.4838,451.8965,7.176104,2001.041,21.32019,3.024014,143.6484,2592.211,1158.216,17.12808,18.8565,10.08805,10.04002,1191.633,186.2499,5833.80137442192,1673.26558342013,1673.26558342013,1645.93739005388,27.3281933662526,35,317218.996219721,1645.93739005388,709.015668622604,936.921721431273
"06037408134","Census Tract 4081.34","Census Tract 4081.34, Los Angeles County, California","00","06","037","408134",2923.394,2041.028,354.5309,256.4902,1.98062,1361.676,3.961239,3.961239,58.42828,882.366,474.3584,9.903098,1.98062,18.81589,2.970929,329.7732,44.56394,2923.39445628834,843.743928440944,843.743928440944,836.811760014786,6.93216842615799,37,296556.217219727,836.811760014786,710.052108793611,126.759651221175
"06037408135","Census Tract 4081.35","Census Tract 4081.35, Los Angeles County, California","00","06","037","408135",4282.948,2802.94,394.1483,406.8312,14.63422,1846.838,3.902458,14.63422,121.9518,1480.007,681.9545,15.60983,17.56106,18.53668,0,667.3203,79.02477,4282.94766741856,1200.98145298229,1200.98145298229,1177.5667049144,23.4147480678919,36,287458.412018117,1177.5667049144,740.49140764708,437.075297267315
"06037408136","Census Tract 4081.36","Census Tract 4081.36, Los Angeles County, California","00","06","037","408136",3834.442,2138.796,600.5057,317.6306,13.3372,1081.054,4.138502,15.66516,106.4648,1695.646,744.889,7.355309,22.09512,15.22073,1.380717,795.0785,109.6269,3834.44197277049,1165.42417314057,1165.42417314057,1137.29971602786,28.124457112717,34,267715.381755446,1137.29971602786,715.995693229022,421.304022798835
"06037408137","Census Tract 4081.37","Census Tract 4081.37, Los Angeles County, California","00","06","037","408137",4493.144,2510.096,701.784,372.3588,15.60271,1272.344,4.867422,18.32554,124.8142,1983.048,871.3261,8.644071,25.80083,17.75141,1.611526,929.6394,128.2747,4493.14437203692,1365.0166129025,1365.0166129025,1332.1750255572,32.8415873452963,34,268096.488710934,1332.1750255572,839.461558305901,492.713467251301
"06037408138","Census Tract 4081.38","Census Tract 4081.38, Los Angeles County, California","00","06","037","408138",5802.601,733.5089,448.594,62.12248,12.19767,141.8622,22.1471,1.677581,44.90783,5069.092,1883.879,8.881191,59.30216,6.106714,2.768745,2883.155,224.9995,5802.600743783,1126.40529000906,1126.40529000906,1103.69326900538,22.7120210036858,30,199231.409550912,1103.69326900538,900.729499870074,202.963769135303
"06037408139","Census Tract 4081.39","Census Tract 4081.39, Los Angeles County, California","00","06","037","408139",4591.573,580.5573,355.2966,49.13287,9.648769,112.0797,17.54343,1.316729,35.53921,4011.015,1491.091,7.018743,46.92535,4.826933,2.19285,2280.901,178.0589,4591.57257282007,891.278220074504,891.278220074504,873.291689869808,17.9865302046956,30,199214.402308389,873.291689869808,713.144459796181,160.147230073627
"06037408140","Census Tract 4081.40","Census Tract 4081.40, Los Angeles County, California","00","06","037","408140",3741.077,630.0128,239.0384,68.38879,7.991208,276.2539,10.70463,5.133874,22.5019,3111.064,1225.133,25.16645,69.69598,3.58825,0.003026736,1663.6,123.877,3741.07673464261,768.923202155628,768.923202155628,755.819108175114,13.1040939805142,31,215559.483996775,755.819108175114,601.104141899664,154.71496627545
"06037408141","Census Tract 4081.41","Census Tract 4081.41, Los Angeles County, California","00","06","037","408141",5339.279,858.4379,338.106,91.97629,11.31709,364.2613,15.40644,7.174421,30.19636,4480.841,1762.838,36.17793,100.6949,4.826571,0,2398.368,177.9355,5339.27888337736,1090.75359160723,1090.75359160723,1072.29116665805,18.4624249491792,31,215093.404028753,1072.29116665805,857.068240876239,215.222925781815
"06037408202","Census Tract 4082.02","Census Tract 4082.02, Los Angeles County, California","00","06","037","408202",2482.641,559.9446,354.4631,26.30653,16.16142,122.777,0.000746764,0.02982693,40.20602,1922.697,1038.261,3.124125,35.0421,5.138523,0.9934058,782.8864,57.25104,2482.64123622603,536.611688765588,536.611688765588,520.401794442511,16.2098943230771,32,284985.841698722,520.401794442511,274.019849910663,246.381944531848
"06037408211","Census Tract 4082.11","Census Tract 4082.11, Los Angeles County, California","00","06","037","408211",6059.948,3706.668,854.8461,171.6895,11.29571,2457.672,22.08996,11.23295,177.8423,2353.28,941.2537,22.34057,28.14774,30.22315,2.017681,1168.266,161.0311,6059.94825248333,1834.88198421446,1834.88198421446,1768.69603925303,66.185944961431,31,227672.24201711,1768.69603925303,945.153592619712,823.542446633314
"06037408212","Census Tract 4082.12","Census Tract 4082.12, Los Angeles County, California","00","06","037","408212",4262,2870,915,97,8,1737,17,8,88,1392,662,5,26,6,1,590,102,4262,1267,1267,1231,36,33,286961.430957851,1231,1038,193
"06037408301","Census Tract 4083.01","Census Tract 4083.01, Los Angeles County, California","00","06","037","408301",5630.359,1022.594,435.3448,24.01423,9.002588,514.207,3.001941,5.004529,32.01876,4607.765,2145.861,77.00841,68.01359,7.005176,0.001293897,2103.83,206.0453,5630.35877419695,1238.63400952085,1238.63400952085,1211.623658345,27.0103511758506,28,237152.584526552,1211.623658345,799.52790996838,412.095748376618
"06037408302","Census Tract 4083.02","Census Tract 4083.02, Los Angeles County, California","00","06","037","408302",3714.119,925.6524,536.3285,22.06922,4.183978,323.5649,3.016651,7.060629,29.42851,2788.467,1355.707,13.06593,21.70455,8.06929,2.007989,1315.355,72.55695,3714.11901745144,994.778727551134,994.778727551134,978.276147632686,16.5025799184474,27,293559.886623474,978.276147632686,823.170289662917,155.105857969769
"06037408303","Census Tract 4083.03","Census Tract 4083.03, Los Angeles County, California","00","06","037","408303",3948.091,1097.023,606.0134,32.00055,15.0001,401.008,7.000075,2.000175,34.00073,2851.068,1724.033,44.00033,27.00053,20.0002,5.011598E-05,927.0321,109.0018,3948.09136143103,1168.02455683006,1168.02455683006,1143.02415590222,25.0004009278378,32,317078.589535074,1143.02415590222,1001.02044731973,142.003708582499
"06037408401","Census Tract 4084.01","Census Tract 4084.01, Los Angeles County, California","00","06","037","408401",4103.933,1625.785,706.472,58.95594,12.99029,763.4295,0.9992532,1.998506,80.93951,2478.148,1075.196,5.995519,39.97013,6.994773,0.9992532,1210.096,138.8962,4103.93304031525,1202.10164292653,1202.10164292653,1181.1173249702,20.9843179563234,30,261748.500261331,1181.1173249702,811.393627644505,369.723697325698
"06037408402","Census Tract 4084.02","Census Tract 4084.02, Los Angeles County, California","00","06","037","408402",5469,3084,1800,74,13,1083,0,12,102,2385,1352,15,16,17,1,857,127,5468.99999999999,1827,1827,1781,46,40,385394.406733745,1781,1659,122
"06037408501","Census Tract 4085.01","Census Tract 4085.01, Los Angeles County, California","00","06","037","408501",3171.426,681.2108,314.4808,31.54667,18.73083,283.92,0,1.971667,30.56083,2490.215,906.9666,9.858333,18.73083,11.83,0,1434.387,108.4417,3171.42572345872,737.403307785863,737.403307785863,715.714975203926,21.6883325819371,27,234340.863798194,715.714975203926,513.619148872239,202.095826331687
"06037408503","Census Tract 4085.03","Census Tract 4085.03, Los Angeles County, California","00","06","037","408503",6258,4830,1947,60,6,2698,1,9,109,1428,914,2,13,20,1,396,82,6258,1976,1976,1949,27,32,439592.693714788,1949,1799,150
"06037408504","Census Tract 4085.04","Census Tract 4085.04, Los Angeles County, California","00","06","037","408504",5194,2992.96,1043.62,93.04885,17.40482,1700.317,15.39657,5.355329,117.8172,2201.04,1019.521,7.363578,42.17322,15.39657,0,1013.496,103.0901,5194,1570.45031576234,1570.45031576234,1531.6241783735,38.8261373888388,31,347097.165795943,1531.6241783735,1057.67753576492,473.946642608584
"06037408505","Census Tract 4085.05","Census Tract 4085.05, Los Angeles County, California","00","06","037","408505",2565,1478.04,515.3802,45.95115,8.59518,839.6829,7.603428,2.644671,58.18276,1086.96,503.4792,3.636422,20.82678,7.603428,0,500.5039,50.90991,2565,775.549684237658,775.549684237658,756.375821626497,19.1738626111612,31,347097.165795943,756.375821626497,522.322464235081,234.053357391416
"06037408623","Census Tract 4086.23","Census Tract 4086.23, Los Angeles County, California","00","06","037","408623",3117.178,2185.141,678.0355,94.0012,2.000109,1339.1,1.000217,4,67.00386,932.0375,481.0213,5.000217,9.000272,6.000489,0,387.0137,44.00147,3117.17844686089,1019.05551680117,1019.05551680117,998.054267401532,21.0012493996349,31,354882.977265807,998.054267401532,778.045738890981,220.008528510551
"06037408624","Census Tract 4086.24","Census Tract 4086.24, Los Angeles County, California","00","06","037","408624",3284.822,2594.859,653.9645,21.9988,1.999891,1841.9,3.999783,0,70.99614,689.9625,391.9787,3.999783,4.999728,8.999511,0,252.9863,26.99853,3284.82155313911,1021.94448319883,1021.94448319883,998.945732598468,22.9987506003651,34,352883.055934486,998.945732598468,841.954261109019,156.991471489449
"06037408625","Census Tract 4086.25","Census Tract 4086.25, Los Angeles County, California","00","06","037","408625",4113,3068,1159,66,8,1729,5,3,98,1045,561,0,8,9,6,400,61,4113,1345,1345,1322,23,36,395212.1946787,1322,1136,186
"06037408626","Census Tract 4086.26","Census Tract 4086.26, Los Angeles County, California","00","06","037","408626",5225,4106,515,153,1,3300,8,12,117,1119,552,6,16,24,2,467,52,5225,1812,1812,1707,105,37,497799.78736923,1707,940,767
"06037408627","Census Tract 4086.27","Census Tract 4086.27, Los Angeles County, California","00","06","037","408627",3201,2559,669,40,1,1746,2,0,101,642,415,12,1,6,3,174,31,3201,935,935,921,14,39,436584.10264409,921,837,84
"06037408628","Census Tract 4086.28","Census Tract 4086.28, Los Angeles County, California","00","06","037","408628",5548,4804,727,64,10,3866,5,4,128,744,448,5,6,12,0,222,51,5548,1936,1936,1904,32,33,413368.104889258,1904,1244,660
"06037408629","Census Tract 4086.29","Census Tract 4086.29, Los Angeles County, California","00","06","037","408629",2860,2429,851,43,2,1462,0,3,68,431,250,5,8,13,0,131,24,2860,1005,1005,961,44,29,384958.782006157,961,847,114
"06037408630","Census Tract 4086.30","Census Tract 4086.30, Los Angeles County, California","00","06","037","408630",2216,906.3542,405.9962,29.14999,9.315975,425.5297,4.207215,1.803092,30.35205,1309.646,634.9889,3.606184,18.33143,5.709791,0.3005153,582.9997,63.70925,2216,577.890968266884,577.890968266884,563.766748033632,14.124220233252,32,250569.803396827,563.766748033632,446.565771630052,117.20097640358
"06037408631","Census Tract 4086.31","Census Tract 4086.31, Los Angeles County, California","00","06","037","408631",5158,2109.646,945.0038,67.85001,21.68402,990.4703,9.792785,4.196908,70.64795,3048.354,1478.011,8.393816,42.66857,13.29021,0.6994847,1357,148.2908,5158,1345.10903173312,1345.10903173312,1312.23325196637,32.875779766748,32,250569.803396827,1312.23325196637,1039.43422836995,272.79902359642
"06037408703","Census Tract 4087.03","Census Tract 4087.03, Los Angeles County, California","00","06","037","408703",6908.929,6373.212,749.9256,85.29386,1.020563,5360.634,1.001212,10.03387,165.303,535.7172,274.4614,8.061648,2.160902,17.07577,4.016018,182.4547,47.48673,6908.92895216854,1976.21328640476,1976.21328640476,1928.23380715193,47.9794792528323,37,619921.300664862,1928.23380715193,1837.05367888224,91.1801282696912
"06037408704","Census Tract 4087.04","Census Tract 4087.04, Los Angeles County, California","00","06","037","408704",3148,2276,503,76,2,1601,15,0,79,872,471,4,5,3,0,339,50,3148,1061,1061,1032,29,34,281778.281439154,1032,524,508
"06037408705","Census Tract 4087.05","Census Tract 4087.05, Los Angeles County, California","00","06","037","408705",5548,4179,1049,124,14,2859,5,5,123,1369,691,9,20,15,4,543,87,5548,1576,1576,1552,24,34,307190.8372238,1552,1092,460
"06037408706","Census Tract 4087.06","Census Tract 4087.06, Los Angeles County, California","00","06","037","408706",1487,1238,316,12,0,881,0,2,27,249,161,3,2,2,0,64,17,1487,420,420,415,5,37,489370.355761136,415,393,22
"06037408722","Census Tract 4087.22","Census Tract 4087.22, Los Angeles County, California","00","06","037","408722",4360.104,3049.414,940.5882,77.58906,2.980799,1908.82,0.001496455,8.952872,110.4811,1310.69,600.2384,11.92918,23.83741,17.90125,3.978389,564.3491,88.45631,4360.10418883707,1253.26645264874,1253.26645264874,1236.31190866261,16.9545439861326,37,287490.794590874,1236.31190866261,1031.59845651612,204.713452146483
"06037408723","Census Tract 4087.23","Census Tract 4087.23, Los Angeles County, California","00","06","037","408723",2847,1549.068,312.8122,91.66284,1.70377,1057.701,20.10449,2.044524,63.0395,1297.932,496.4786,8.859605,17.0377,2.385278,0.340754,706.7239,66.10628,2847,786.801077199282,786.801077199282,772.830161579892,13.9709156193896,29,253807.632041726,772.830161579892,230.34973070018,542.480430879713
"06037408724","Census Tract 4087.24","Census Tract 4087.24, Los Angeles County, California","00","06","037","408724",5508,2996.932,605.1878,177.3372,3.29623,2046.299,38.89551,3.955476,121.9605,2511.068,960.5214,17.14039,32.9623,4.614722,0.659246,1367.276,127.8937,5508,1522.19892280072,1522.19892280072,1495.16983842011,27.0290843806104,29,253807.632041725,1495.16983842011,445.65026929982,1049.51956912029
"06037408800","Census Tract 4088","Census Tract 4088, Los Angeles County, California","00","06","037","408800",3571,980,336,369,7,194,11,8,55,2591,1013,13,35,1,0,1410,119,3571,1171,1171,1107,64,27,169655.523610708,1107,168,939
"06037430002","Census Tract 4300.02","Census Tract 4300.02, Los Angeles County, California","00","06","037","430002",7107.9,4486.805,2361.182,757.657,22.99546,1145.015,5.996945,10.00566,183.9529,2621.095,1263.586,28.99598,18.99032,25.98676,2.998472,1156.572,123.9655,7107.90005370431,2295.53719299649,2295.53719299649,2239.46894901001,56.0682439864814,29,243772.000251003,2239.46894901001,1613.19999047074,626.268958539268
"06037430003","Census Tract 4300.03","Census Tract 4300.03, Los Angeles County, California","00","06","037","430003",4624.235,3672.339,2353.836,264.2987,17.88484,863.4327,1.987235,8.943013,161.9566,951.8957,536.5557,4.968123,15.89816,12.91686,6.980826E-05,293.125,88.43177,4624.23506591764,1546.05389201683,1546.05389201683,1527.17488878099,18.8790032358389,32,369834.598602661,1527.17488878099,1416.87403181859,110.300856962399
"06037430101","Census Tract 4301.01","Census Tract 4301.01, Los Angeles County, California","00","06","037","430101",4735.778,2524.395,1439.906,478.8191,23.05851,427.2394,9.999995,23.02127,122.3511,2211.383,990.8829,9.010636,27.00531,0.005320393,2.999998,1021.191,160.2872,4735.7779188429,1710.93693798828,1710.93693798828,1632.76140412948,78.1755338588073,33,211880.710970914,1632.76140412948,821.23462311477,811.526781014706
"06037430102","Census Tract 4301.02","Census Tract 4301.02, Los Angeles County, California","00","06","037","430102",4957.478,1453.071,730.0022,388.278,29.71515,226.8257,0,6.933536,71.31637,3504.407,1475.853,14.85758,44.57273,2.971515,0,1758.147,208.0061,4957.47793089072,1238.13135137131,1238.13135137131,1221.29276499266,16.8385863786498,26,221826.015660592,1221.29276499266,846.881844337975,374.410920654684
"06037430200","Census Tract 4302","Census Tract 4302, Los Angeles County, California","00","06","037","430200",1322.763,1191.619,982.6197,14.61723,2.207693,174.0641,0.045614,3.119824,14.94534,131.144,70.42522,3.050534,0.1427149,0.1270277,0.008958705,48.33778,9.051731,1322.76345340674,498.532194063677,498.532194063677,471.205273808634,27.3269202550427,27,917958.932264147,471.205273808634,304.485712400524,166.71956140811
"06037430301","Census Tract 4303.01","Census Tract 4303.01, Los Angeles County, California","00","06","037","430301",4241.725,3737.449,3343.63,65.53936,10.9443,194.7413,3.969659,9.042681,109.5817,504.276,315.6217,2.289939,3.969659,3.969659,0.9924147,121.8019,55.6307,4241.72459398166,1679.70783860584,1679.70783860584,1642.20572653929,37.5021120665555,28,506832.599170995,1642.20572653929,1365.12173623782,277.083990301467
"06037430302","Census Tract 4303.02","Census Tract 4303.02, Los Angeles County, California","00","06","037","430302",5996,4883,4271,163,24,290,2,11,122,1113,559,8,25,10,2,441,68,5996,2529,2529,2442,87,26,409612.809371655,2442,1501,941
"06037430400","Census Tract 4304","Census Tract 4304, Los Angeles County, California","00","06","037","430400",4176.099,3870.984,2100.876,35.01464,8.003361,1612.056,2.001616,5.002054,108.0305,305.1147,153.0716,0.0006414003,3.00095,2.000839,0.0001542338,113.027,34.01352,4176.09917619349,1517.45997647091,1517.45997647091,1478.44765442304,39.0123220478728,29,682390.030997153,1478.44765442304,1242.35883271849,236.088821704554
"06037430501","Census Tract 4305.01","Census Tract 4305.01, Los Angeles County, California","00","06","037","430501",3987.031,3655.361,3224.79,42.95724,14.98508,235.7653,8.991049,5.994033,121.8787,331.6698,204.7961,2.997016,2.997016,1.998011,0,74.92541,43.95624,3987.03092154623,1801.20690341966,1801.20690341966,1740.2675683622,60.9393350574593,27,599103.912969755,1740.2675683622,1326.67929436567,413.588273996527
"06037430502","Census Tract 4305.02","Census Tract 4305.02, Los Angeles County, California","00","06","037","430502",6587,5865,5207,70,9,352,2,32,193,722,437,5,10,2,0,206,62,6587,3120,3120,3014,106,26,522974.482068953,3014,1648,1366
"06037430600","Census Tract 4306","Census Tract 4306, Los Angeles County, California","00","06","037","430600",4297,4028,2208,22,1,1691,0,6,100,269,183,0,1,8,0,55,22,4297,1472,1472,1416,56,28,835812.792532307,1416,1320,96
"06037430701","Census Tract 4307.01","Census Tract 4307.01, Los Angeles County, California","00","06","037","430701",5204.399,4617.727,2543.447,55.03268,8.217406,1836.481,3.027176,18.01359,153.5083,586.672,361.9243,5.067939,3.353285,2.027176,0,149.2258,65.07344,5204.39904563078,1950.43292382106,1950.43292382106,1900.98452328981,49.4484005312513,27,688957.718901412,1900.98452328981,1286.36463902843,614.619884261377
"06037430721","Census Tract 4307.21","Census Tract 4307.21, Los Angeles County, California","00","06","037","430721",3193,2809,1555,31,5,1159,5,1,53,384,165,1,3,4,0,186,25,3193,1324,1324,1261,63,29,426575.655893076,1261,734,527
"06037430723","Census Tract 4307.23","Census Tract 4307.23, Los Angeles County, California","00","06","037","430723",3777,3133.922,1429.216,92.05377,4.216663,1473.84,0.06893835,5.068938,129.4576,643.0778,274.431,11.04924,5.226512,9.078787,0,298.337,44.95529,3777,1752.78077604885,1752.78077604885,1652.17017923971,100.610596809139,32,315020.832965958,1652.17017923971,487.169588339571,1165.00059090014
"06037430724","Census Tract 4307.24","Census Tract 4307.24, Los Angeles County, California","00","06","037","430724",4178.512,3718.437,1767.602,91.61656,6.970825,1736.731,2.987496,5.974993,106.554,460.0744,240.9914,0.9958321,13.94165,9.958321,0,163.3165,30.8708,4178.51162790698,1934.90183341832,1934.90183341832,1861.21025561443,73.6915778038885,28,301229.156173464,1861.21025561443,542.728512204314,1318.48174341011
"06037430801","Census Tract 4308.01","Census Tract 4308.01, Los Angeles County, California","00","06","037","430801",5979,5028,1470,72,11,3271,4,16,184,951,423,0,8,13,10,431,66,5979,2311,2311,2179,132,33,396643.569468688,2179,743,1436
"06037430802","Census Tract 4308.02","Census Tract 4308.02, Los Angeles County, California","00","06","037","430802",4087.18,3719.382,1564.388,28.75232,2.029483,2008.93,2.021349,5.023383,108.2369,367.7982,204.7374,0.05388206,7.066082,7.026433,0.005083213,121.5951,27.31414,4087.18028323045,1396.3833867764,1396.3833867764,1337.26138965706,59.1219971193415,28,580133.2937331,1337.26138965706,1041.10204064472,296.159349012344
"06037430803","Census Tract 4308.03","Census Tract 4308.03, Los Angeles County, California","00","06","037","430803",5258.505,4802.434,2104.859,39.27589,11.0405,2506.731,1.015887,18.03894,121.4724,456.0705,247.5873,5.031103,5.090173,5.020363,0.01073998,169.9171,23.41372,5258.50474107207,1840.31245290873,1840.31245290873,1774.8866383654,65.4258145433357,33,551529.732178224,1774.8866383654,1434.60915204164,340.277486323756
"06037430901","Census Tract 4309.01","Census Tract 4309.01, Los Angeles County, California","00","06","037","430901",4431.245,2597.897,1635.586,363.1363,14.23102,449.0132,10.30522,11.28667,114.3389,1833.348,838.6487,26.00841,31.89711,12.75884,2.453624,769.9472,151.634,4431.24490242888,1633.13211907899,1633.13211907899,1574.24514363143,58.8869754475598,26,282167.296553753,1574.24514363143,531.945678209624,1042.29946542181
"06037430902","Census Tract 4309.02","Census Tract 4309.02, Los Angeles County, California","00","06","037","430902",4589.575,2690.721,1694.026,376.1113,14.7395,465.0566,10.67343,11.68995,118.4242,1898.854,868.6139,26.9377,33.03681,13.21472,2.541293,797.4577,157.0519,4589.57481434068,1691.4844941446,1691.4844941446,1630.4934667115,60.9910274330987,26,282167.296553753,1630.4934667115,550.952281145658,1079.54118556585
