FIPS,Qualifying Name,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Average Commute to Work (In Min),Median Household Income (In 2021 Inflation Adjusted Dollars)
6037400206,"Census Tract 4002.06, Los Angeles County, California",5756,5756,3288,212,5,944,43,492,772,57.12,3.68,0.09,16.4,0.75,8.55,13.41,31,156546
6037400207,"Census Tract 4002.07, Los Angeles County, California",4759,4759,3210,113,103,713,0,239,381,67.45,2.37,2.16,14.98,0,5.02,8.01,32,156111
6037400208,"Census Tract 4002.08, Los Angeles County, California",1160,1160,763,0,0,214,0,70,113,65.78,0,0,18.45,0,6.03,9.74,31,119600
6037400209,"Census Tract 4002.09, Los Angeles County, California",4302,4302,2706,358,47,315,0,217,659,62.9,8.32,1.09,7.32,0,5.04,15.32,38,125484
6037400304,"Census Tract 4003.04, Los Angeles County, California",7839,7839,4848,51,17,1724,85,389,725,61.84,0.65,0.22,21.99,1.08,4.96,9.25,26,81653
6037400402,"Census Tract 4004.02, Los Angeles County, California",4181,4181,2621,68,0,578,0,167,747,62.69,1.63,0,13.82,0,3.99,17.87,32,109342
6037400403,"Census Tract 4004.03, Los Angeles County, California",4291,4291,2535,172,22,242,0,342,978,59.08,4.01,0.51,5.64,0,7.97,22.79,38,120441
6037400404,"Census Tract 4004.04, Los Angeles County, California",4179,4179,3206,0,18,537,2,130,286,76.72,0,0.43,12.85,0.05,3.11,6.84,34,155333
6037400501,"Census Tract 4005.01, Los Angeles County, California",2031,2031,1543,4,0,200,58,80,146,75.97,0.2,0,9.85,2.86,3.94,7.19,31,178438
6037400602,"Census Tract 4006.02, Los Angeles County, California",4699,4699,2401,87,37,328,0,1003,843,51.1,1.85,0.79,6.98,0,21.34,17.94,35,76864
6037400603,"Census Tract 4006.03, Los Angeles County, California",5000,5000,2358,207,95,945,26,364,1005,47.16,4.14,1.9,18.9,0.52,7.28,20.1,33,87310
6037400605,"Census Tract 4006.05, Los Angeles County, California",7777,7777,3681,220,15,2363,16,516,966,47.33,2.83,0.19,30.38,0.21,6.63,12.42,28,93594
6037400801,"Census Tract 4008.01, Los Angeles County, California",7252,7252,4181,156,52,1507,0,461,895,57.65,2.15,0.72,20.78,0,6.36,12.34,29,112943
6037401001,"Census Tract 4010.01, Los Angeles County, California",2736,2736,2035,0,0,358,0,149,194,74.38,0,0,13.08,0,5.45,7.09,34,111611
6037401002,"Census Tract 4010.02, Los Angeles County, California",4270,4270,2631,403,0,262,8,605,361,61.62,9.44,0,6.14,0.19,14.17,8.45,35,66740
6037401101,"Census Tract 4011.01, Los Angeles County, California",5704,5704,3054,136,33,588,0,757,1136,53.54,2.38,0.58,10.31,0,13.27,19.92,30,72330
6037401102,"Census Tract 4011.02, Los Angeles County, California",4207,4207,2457,60,32,543,0,283,832,58.4,1.43,0.76,12.91,0,6.73,19.78,32,95369
6037401201,"Census Tract 4012.01, Los Angeles County, California",3625,3625,1929,29,61,279,18,296,1013,53.21,0.8,1.68,7.7,0.5,8.17,27.94,39,143750
