FIPS,Qualifying Name,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Average Commute to Work (In Min),Median Household Income (In 2021 Inflation Adjusted Dollars)
6037183810,"Census Tract 1838.10, Los Angeles County, California",4369,4369,1670,35,362,114,0,1873,315,38.22,0.8,8.29,2.61,0,42.87,7.21,30,72928
6037183820,"Census Tract 1838.20, Los Angeles County, California",3331,3331,919,168,196,338,0,1216,494,27.59,5.04,5.88,10.15,0,36.51,14.83,31,67075
6037185101,"Census Tract 1851.01, Los Angeles County, California",2924,2924,1614,56,0,391,0,640,223,55.2,1.92,0,13.37,0,21.89,7.63,30,89489
6037185102,"Census Tract 1851.02, Los Angeles County, California",3352,3352,2370,62,0,275,0,88,557,70.7,1.85,0,8.2,0,2.63,16.62,29,139297
6037185202,"Census Tract 1852.02, Los Angeles County, California",4084,4084,2113,38,0,369,0,1152,412,51.74,0.93,0,9.04,0,28.21,10.09,29,87708
6037185203,"Census Tract 1852.03, Los Angeles County, California",2728,2728,952,15,53,177,0,1287,244,34.9,0.55,1.94,6.49,0,47.18,8.94,31,73750
6037185204,"Census Tract 1852.04, Los Angeles County, California",1884,1884,753,62,18,472,0,362,217,39.97,3.29,0.96,25.05,0,19.21,11.52,41,96250
6037185310,"Census Tract 1853.10, Los Angeles County, California",3053,3053,1314,54,0,179,0,1432,74,43.04,1.77,0,5.86,0,46.9,2.42,34,69111
6037185320,"Census Tract 1853.20, Los Angeles County, California",2831,2831,913,18,53,137,0,1470,240,32.25,0.64,1.87,4.84,0,51.93,8.48,30,52679
6037186100,"Census Tract 1861, Los Angeles County, California",4848,4848,2128,53,92,1203,0,737,635,43.89,1.09,1.9,24.81,0,15.2,13.1,32,105603
6037186201,"Census Tract 1862.01, Los Angeles County, California",3503,3503,988,84,0,1182,0,695,554,28.2,2.4,0,33.74,0,19.84,15.82,31,77619
6037186202,"Census Tract 1862.02, Los Angeles County, California",1739,1739,667,49,18,583,7,94,321,38.36,2.82,1.04,33.53,0.4,5.41,18.46,30,89241
6037186203,"Census Tract 1862.03, Los Angeles County, California",3104,3104,1668,22,114,291,0,685,324,53.74,0.71,3.67,9.38,0,22.07,10.44,36,120302
6037186301,"Census Tract 1863.01, Los Angeles County, California",2713,2713,976,166,87,234,0,836,414,35.97,6.12,3.21,8.63,0,30.81,15.26,34,72917
6037186302,"Census Tract 1863.02, Los Angeles County, California",5082,5082,2435,42,52,761,0,1287,505,47.91,0.83,1.02,14.97,0,25.32,9.94,25,87813
6037186401,"Census Tract 1864.01, Los Angeles County, California",3042,3042,510,74,178,473,0,1360,447,16.77,2.43,5.85,15.55,0,44.71,14.69,37,54744
6037186403,"Census Tract 1864.03, Los Angeles County, California",2692,2692,604,38,162,503,0,1044,341,22.44,1.41,6.02,18.68,0,38.78,12.67,28,70547
6037186404,"Census Tract 1864.04, Los Angeles County, California",2795,2795,691,7,55,318,0,1353,371,24.72,0.25,1.97,11.38,0,48.41,13.27,26,68472
6037187101,"Census Tract 1871.01, Los Angeles County, California",2983,2983,1139,0,17,1082,0,470,275,38.18,0,0.57,36.27,0,15.76,9.22,28,86045
6037187102,"Census Tract 1871.02, Los Angeles County, California",4588,4588,1304,116,271,1346,0,729,822,28.42,2.53,5.91,29.34,0,15.89,17.92,30,65495
6037187200,"Census Tract 1872, Los Angeles County, California",2809,2809,1352,25,15,386,12,796,223,48.13,0.89,0.53,13.74,0.43,28.34,7.94,32,80389
6037187300,"Census Tract 1873, Los Angeles County, California",3688,3688,2481,102,0,521,0,237,347,67.27,2.77,0,14.13,0,6.43,9.41,30,108958
6037188100,"Census Tract 1881, Los Angeles County, California",3842,3842,1681,36,99,435,0,1179,412,43.75,0.94,2.58,11.32,0,30.69,10.72,31,60508
6037188201,"Census Tract 1882.01, Los Angeles County, California",3077,3077,2118,92,76,385,0,175,231,68.83,2.99,2.47,12.51,0,5.69,7.51,31,96563
6037188202,"Census Tract 1882.02, Los Angeles County, California",2832,2832,1742,68,0,600,0,211,211,61.51,2.4,0,21.19,0,7.45,7.45,27,148125
6037188300,"Census Tract 1883, Los Angeles County, California",3738,3738,1627,15,302,945,0,521,328,43.53,0.4,8.08,25.28,0,13.94,8.77,34,116489
6037189101,"Census Tract 1891.01, Los Angeles County, California",2366,2366,1736,92,0,421,9,56,52,73.37,3.89,0,17.79,0.38,2.37,2.2,31,83362
6037189102,"Census Tract 1891.02, Los Angeles County, California",3910,3910,2792,46,2,498,29,290,253,71.41,1.18,0.05,12.74,0.74,7.42,6.47,32,102862
6037189201,"Census Tract 1892.01, Los Angeles County, California",3020,3020,2219,82,20,163,0,337,199,73.48,2.72,0.66,5.4,0,11.16,6.59,33,62917
6037189202,"Census Tract 1892.02, Los Angeles County, California",2829,2829,1992,75,7,308,0,63,384,70.41,2.65,0.25,10.89,0,2.23,13.57,28,139453
6037189300,"Census Tract 1893, Los Angeles County, California",2805,2805,2262,66,23,285,0,87,82,80.64,2.35,0.82,10.16,0,3.1,2.92,25,163646
6037189400,"Census Tract 1894, Los Angeles County, California",3135,3135,2278,306,0,154,0,0,397,72.66,9.76,0,4.91,0,0,12.66,32,139615
6037189501,"Census Tract 1895.01, Los Angeles County, California",2293,2293,1901,188,0,92,0,105,7,82.9,8.2,0,4.01,0,4.58,0.31,32,75127
6037189502,"Census Tract 1895.02, Los Angeles County, California",1948,1948,1352,97,0,194,8,140,157,69.4,4.98,0,9.96,0.41,7.19,8.06,30,58295
6037189600,"Census Tract 1896, Los Angeles County, California",3752,3752,2780,81,49,273,0,215,354,74.09,2.16,1.31,7.28,0,5.73,9.43,24,74766
6037189702,"Census Tract 1897.02, Los Angeles County, California",2121,2121,1692,137,0,42,0,50,200,79.77,6.46,0,1.98,0,2.36,9.43,36,83551
6037189703,"Census Tract 1897.03, Los Angeles County, California",1824,1824,1183,296,0,238,0,57,50,64.86,16.23,0,13.05,0,3.12,2.74,27,110758
6037189704,"Census Tract 1897.04, Los Angeles County, California",1257,1257,987,24,0,120,0,29,97,78.52,1.91,0,9.55,0,2.31,7.72,31,105000
6037189801,"Census Tract 1898.01, Los Angeles County, California",1766,1766,1401,84,27,74,0,51,129,79.33,4.76,1.53,4.19,0,2.89,7.3,31,74317
6037189802,"Census Tract 1898.02, Los Angeles County, California",1917,1917,1422,228,0,98,0,61,108,74.18,11.89,0,5.11,0,3.18,5.63,31,75174
6037189903,"Census Tract 1899.03, Los Angeles County, California",2209,2209,1679,94,0,232,0,94,110,76.01,4.26,0,10.5,0,4.26,4.98,29,86438
6037189904,"Census Tract 1899.04, Los Angeles County, California",2270,2270,1440,164,5,134,0,361,166,63.44,7.22,0.22,5.9,0,15.9,7.31,28,60625
6037189905,"Census Tract 1899.05, Los Angeles County, California",2508,2508,1692,150,0,97,0,179,390,67.46,5.98,0,3.87,0,7.14,15.55,32,73682
6037189906,"Census Tract 1899.06, Los Angeles County, California",2467,2467,1786,168,0,337,0,35,141,72.4,6.81,0,13.66,0,1.42,5.72,33,78686
6037189907,"Census Tract 1899.07, Los Angeles County, California",2416,2416,1579,92,0,290,0,102,353,65.36,3.81,0,12,0,4.22,14.61,26,75089
6037190101,"Census Tract 1901.01, Los Angeles County, California",1659,1659,686,255,33,123,0,180,382,41.35,15.37,1.99,7.41,0,10.85,23.03,27,35054
6037190102,"Census Tract 1901.02, Los Angeles County, California",2473,2473,1573,43,30,239,0,355,233,63.61,1.74,1.21,9.66,0,14.36,9.42,30,61568
6037190201,"Census Tract 1902.01, Los Angeles County, California",2928,2928,1348,264,48,161,0,482,625,46.04,9.02,1.64,5.5,0,16.46,21.35,27,31654
6037190202,"Census Tract 1902.02, Los Angeles County, California",2988,2988,1422,719,0,355,0,228,264,47.59,24.06,0,11.88,0,7.63,8.84,32,46382
6037190302,"Census Tract 1903.02, Los Angeles County, California",2811,2811,1593,126,0,493,0,467,132,56.67,4.48,0,17.54,0,16.61,4.7,23,71500
6037190303,"Census Tract 1903.03, Los Angeles County, California",2608,2608,1639,267,50,133,0,416,103,62.85,10.24,1.92,5.1,0,15.95,3.95,30,42331
6037190401,"Census Tract 1904.01, Los Angeles County, California",2905,2905,1635,145,0,262,0,544,319,56.28,4.99,0,9.02,0,18.73,10.98,28,54718
6037190402,"Census Tract 1904.02, Los Angeles County, California",2169,2169,1530,80,0,282,0,159,118,70.54,3.69,0,13,0,7.33,5.44,38,49120
6037190510,"Census Tract 1905.10, Los Angeles County, California",3710,3710,1432,262,0,570,0,1278,168,38.6,7.06,0,15.36,0,34.45,4.53,31,52515
6037190520,"Census Tract 1905.20, Los Angeles County, California",3864,3864,1722,159,11,659,0,978,335,44.57,4.11,0.28,17.05,0,25.31,8.67,30,46336
6037190701,"Census Tract 1907.01, Los Angeles County, California",1551,1551,862,71,10,270,0,247,91,55.58,4.58,0.64,17.41,0,15.93,5.87,23,43819
6037190702,"Census Tract 1907.02, Los Angeles County, California",1161,1161,658,80,0,98,0,182,143,56.68,6.89,0,8.44,0,15.68,12.32,33,66150
6037190801,"Census Tract 1908.01, Los Angeles County, California",3001,3001,1472,330,51,196,11,688,253,49.05,11,1.7,6.53,0.37,22.93,8.43,42,28143
6037190802,"Census Tract 1908.02, Los Angeles County, California",2944,2944,1356,279,39,263,0,408,599,46.06,9.48,1.32,8.93,0,13.86,20.35,32,63804
6037190901,"Census Tract 1909.01, Los Angeles County, California",3613,3613,1303,174,12,144,0,1646,334,36.06,4.82,0.33,3.99,0,45.56,9.24,34,41314
6037190902,"Census Tract 1909.02, Los Angeles County, California",3711,3711,1665,204,0,100,29,1504,209,44.87,5.5,0,2.69,0.78,40.53,5.63,33,57105
6037191000,"Census Tract 1910, Los Angeles County, California",4894,4894,2807,285,130,925,0,488,259,57.36,5.82,2.66,18.9,0,9.97,5.29,34,58411
6037191110,"Census Tract 1911.10, Los Angeles County, California",3104,3104,2324,41,0,227,0,367,145,74.87,1.32,0,7.31,0,11.82,4.67,29,41625
6037191120,"Census Tract 1911.20, Los Angeles County, California",3775,3775,1319,73,156,414,25,1610,178,34.94,1.93,4.13,10.97,0.66,42.65,4.72,35,37039
6037191201,"Census Tract 1912.01, Los Angeles County, California",5007,5007,2762,140,11,506,0,1249,339,55.16,2.8,0.22,10.11,0,24.95,6.77,19,41094
6037191203,"Census Tract 1912.03, Los Angeles County, California",2345,2345,966,101,30,518,0,694,36,41.19,4.31,1.28,22.09,0,29.59,1.54,35,35263
6037191204,"Census Tract 1912.04, Los Angeles County, California",1513,1513,508,106,14,283,0,514,88,33.58,7.01,0.93,18.7,0,33.97,5.82,40,50455
6037191301,"Census Tract 1913.01, Los Angeles County, California",2242,2242,555,180,0,532,0,944,31,24.75,8.03,0,23.73,0,42.11,1.38,35,63073
6037191302,"Census Tract 1913.02, Los Angeles County, California",1807,1807,602,22,0,468,0,635,80,33.31,1.22,0,25.9,0,35.14,4.43,34,58523
6037191410,"Census Tract 1914.10, Los Angeles County, California",3372,3372,931,211,24,354,15,1680,157,27.61,6.26,0.71,10.5,0.44,49.82,4.66,35,47563
6037191420,"Census Tract 1914.20, Los Angeles County, California",3515,3515,905,46,10,319,0,1302,933,25.75,1.31,0.28,9.08,0,37.04,26.54,31,69063
6037191500,"Census Tract 1915, Los Angeles County, California",5503,5503,2163,60,28,714,0,2148,390,39.31,1.09,0.51,12.97,0,39.03,7.09,40,58726
6037191610,"Census Tract 1916.10, Los Angeles County, California",3938,3938,918,338,0,557,0,1923,202,23.31,8.58,0,14.14,0,48.83,5.13,34,52725
6037191620,"Census Tract 1916.20, Los Angeles County, California",2857,2857,594,191,0,662,0,1375,35,20.79,6.69,0,23.17,0,48.13,1.23,44,39087
6037191710,"Census Tract 1917.10, Los Angeles County, California",2633,2633,703,38,0,283,0,1318,291,26.7,1.44,0,10.75,0,50.06,11.05,30,26554
6037191720,"Census Tract 1917.20, Los Angeles County, California",3447,3447,1032,259,22,197,0,1733,204,29.94,7.51,0.64,5.72,0,50.28,5.92,36,35398
6037191810,"Census Tract 1918.10, Los Angeles County, California",2981,2981,964,295,142,38,25,1335,182,32.34,9.9,4.76,1.27,0.84,44.78,6.11,34,50270
6037191820,"Census Tract 1918.20, Los Angeles County, California",3518,3518,1611,244,17,487,0,774,385,45.79,6.94,0.48,13.84,0,22,10.94,34,65343
6037191901,"Census Tract 1919.01, Los Angeles County, California",3609,3609,2077,403,31,243,18,301,536,57.55,11.17,0.86,6.73,0.5,8.34,14.85,29,52464
6037191902,"Census Tract 1919.02, Los Angeles County, California",2778,2778,2173,25,2,233,0,159,186,78.22,0.9,0.07,8.39,0,5.72,6.7,29,88797
6037192001,"Census Tract 1920.01, Los Angeles County, California",2118,2118,1432,171,32,216,0,72,195,67.61,8.07,1.51,10.2,0,3.4,9.21,32,85777
6037192002,"Census Tract 1920.02, Los Angeles County, California",2639,2639,2161,69,0,144,0,30,235,81.89,2.61,0,5.46,0,1.14,8.9,30,123636
6037192300,"Census Tract 1923, Los Angeles County, California",2503,2503,1457,106,0,454,0,76,410,58.21,4.23,0,18.14,0,3.04,16.38,28,84432
6037192410,"Census Tract 1924.10, Los Angeles County, California",3815,3815,2419,201,29,556,0,183,427,63.41,5.27,0.76,14.57,0,4.8,11.19,29,88152
6037192420,"Census Tract 1924.20, Los Angeles County, California",3657,3657,881,225,87,1203,0,965,296,24.09,6.15,2.38,32.9,0,26.39,8.09,30,61349
6037192510,"Census Tract 1925.10, Los Angeles County, California",3769,3769,409,11,5,1566,21,1337,420,10.85,0.29,0.13,41.55,0.56,35.47,11.14,31,56781
6037192520,"Census Tract 1925.20, Los Angeles County, California",5333,5333,914,259,9,785,51,3189,126,17.14,4.86,0.17,14.72,0.96,59.8,2.36,33,56122
6037192610,"Census Tract 1926.10, Los Angeles County, California",3892,3892,1186,135,0,361,0,2115,95,30.47,3.47,0,9.28,0,54.34,2.44,34,44184
6037192620,"Census Tract 1926.20, Los Angeles County, California",3415,3415,625,112,125,909,0,1554,90,18.3,3.28,3.66,26.62,0,45.51,2.64,34,44631
6037192700,"Census Tract 1927, Los Angeles County, California",3934,3934,1734,78,82,650,0,1129,261,44.08,1.98,2.08,16.52,0,28.7,6.63,26,58036
6037194101,"Census Tract 1941.01, Los Angeles County, California",3258,3258,2472,230,0,300,0,87,169,75.87,7.06,0,9.21,0,2.67,5.19,28,86442
6037194102,"Census Tract 1941.02, Los Angeles County, California",2791,2791,1988,278,0,339,0,12,174,71.23,9.96,0,12.15,0,0.43,6.23,29,110313
6037194200,"Census Tract 1942, Los Angeles County, California",3542,3542,2716,61,0,211,0,46,508,76.68,1.72,0,5.96,0,1.3,14.34,33,198049
6037194300,"Census Tract 1943, Los Angeles County, California",2806,2806,2482,21,0,80,14,19,190,88.45,0.75,0,2.85,0.5,0.68,6.77,33,201250
6037194401,"Census Tract 1944.01, Los Angeles County, California",2444,2444,1584,96,35,290,0,209,230,64.81,3.93,1.43,11.87,0,8.55,9.41,31,95064
6037194402,"Census Tract 1944.02, Los Angeles County, California",3314,3314,2759,52,0,394,0,65,44,83.25,1.57,0,11.89,0,1.96,1.33,32,101747
6037194500,"Census Tract 1945, Los Angeles County, California",1977,1977,1482,151,4,187,0,63,90,74.96,7.64,0.2,9.46,0,3.19,4.55,26,107826
6037195100,"Census Tract 1951, Los Angeles County, California",5106,5106,3755,82,24,621,0,132,492,73.54,1.61,0.47,12.16,0,2.59,9.64,31,143500
6037195201,"Census Tract 1952.01, Los Angeles County, California",2816,2816,1933,19,17,361,0,318,168,68.64,0.67,0.6,12.82,0,11.29,5.97,26,101036
6037195202,"Census Tract 1952.02, Los Angeles County, California",3231,3231,2351,92,0,347,16,151,274,72.76,2.85,0,10.74,0.5,4.67,8.48,32,147143
6037195300,"Census Tract 1953, Los Angeles County, California",2776,2776,1892,58,4,242,0,444,136,68.16,2.09,0.14,8.72,0,15.99,4.9,32,81300
6037195400,"Census Tract 1954, Los Angeles County, California",4214,4214,2767,128,0,637,0,370,312,65.66,3.04,0,15.12,0,8.78,7.4,29,104853
6037195500,"Census Tract 1955, Los Angeles County, California",5162,5162,2653,64,13,1032,0,914,486,51.39,1.24,0.25,19.99,0,17.71,9.41,34,97092
6037195600,"Census Tract 1956, Los Angeles County, California",2760,2760,1153,67,0,342,0,1042,156,41.78,2.43,0,12.39,0,37.75,5.65,33,53943
6037195710,"Census Tract 1957.10, Los Angeles County, California",4529,4529,1656,260,36,597,16,1532,432,36.56,5.74,0.79,13.18,0.35,33.83,9.54,37,54389
6037195720,"Census Tract 1957.20, Los Angeles County, California",1878,1878,688,46,10,244,10,637,243,36.63,2.45,0.53,12.99,0.53,33.92,12.94,37,62750
6037195802,"Census Tract 1958.02, Los Angeles County, California",2928,2928,813,46,11,704,0,1168,186,27.77,1.57,0.38,24.04,0,39.89,6.35,30,61458
6037195803,"Census Tract 1958.03, Los Angeles County, California",2305,2305,1150,57,24,351,0,253,470,49.89,2.47,1.04,15.23,0,10.98,20.39,27,91750
6037195804,"Census Tract 1958.04, Los Angeles County, California",2719,2719,1040,118,49,335,29,853,295,38.25,4.34,1.8,12.32,1.07,31.37,10.85,30,74375
6037195901,"Census Tract 1959.01, Los Angeles County, California",2450,2450,1560,34,23,402,0,376,55,63.67,1.39,0.94,16.41,0,15.35,2.24,25,68000
6037195902,"Census Tract 1959.02, Los Angeles County, California",1872,1872,1110,33,0,186,0,149,394,59.29,1.76,0,9.94,0,7.96,21.05,34,74890
6037195903,"Census Tract 1959.03, Los Angeles County, California",1876,1876,969,0,73,308,0,292,234,51.65,0,3.89,16.42,0,15.57,12.47,34,73227
6037197200,"Census Tract 1972, Los Angeles County, California",3564,3564,653,45,51,1529,38,1054,194,18.32,1.26,1.43,42.9,1.07,29.57,5.44,37,62043
6037197300,"Census Tract 1973, Los Angeles County, California",3944,3944,2106,75,0,581,38,861,283,53.4,1.9,0,14.73,0.96,21.83,7.18,29,85278
6037197410,"Census Tract 1974.10, Los Angeles County, California",3727,3727,2514,107,32,321,0,283,470,67.45,2.87,0.86,8.61,0,7.59,12.61,34,88401
6037197420,"Census Tract 1974.20, Los Angeles County, California",3906,3906,1509,169,0,283,0,1534,411,38.63,4.33,0,7.25,0,39.27,10.52,28,93370
6037197500,"Census Tract 1975, Los Angeles County, California",3964,3964,1997,126,35,678,0,969,159,50.38,3.18,0.88,17.1,0,24.45,4.01,27,78253
6037197600,"Census Tract 1976, Los Angeles County, California",2214,2214,847,12,14,206,0,816,319,38.26,0.54,0.63,9.3,0,36.86,14.41,24,77768
6037197700,"Census Tract 1977, Los Angeles County, California",5078,5078,1508,98,115,2119,0,660,578,29.7,1.93,2.26,41.73,0,13,11.38,25,55548
6037199001,"Census Tract 1990.01, Los Angeles County, California",2083,2083,229,0,8,843,0,938,65,10.99,0,0.38,40.47,0,45.03,3.12,33,35938
6037199002,"Census Tract 1990.02, Los Angeles County, California",2714,2714,1158,72,0,620,0,841,23,42.67,2.65,0,22.84,0,30.99,0.85,31,64094
6037199110,"Census Tract 1991.10, Los Angeles County, California",2776,2776,568,11,24,98,0,1654,421,20.46,0.4,0.86,3.53,0,59.58,15.17,29,78088
6037199120,"Census Tract 1991.20, Los Angeles County, California",4023,4023,747,220,0,999,15,1897,145,18.57,5.47,0,24.83,0.37,47.15,3.6,33,40795
6037199201,"Census Tract 1992.01, Los Angeles County, California",3686,3686,367,0,120,1180,0,1804,215,9.96,0,3.26,32.01,0,48.94,5.83,34,54375
6037199202,"Census Tract 1992.02, Los Angeles County, California",2807,2807,1246,35,88,356,0,939,143,44.39,1.25,3.14,12.68,0,33.45,5.09,34,68875
6037199300,"Census Tract 1993, Los Angeles County, California",4288,4288,1370,58,99,898,0,1398,465,31.95,1.35,2.31,20.94,0,32.6,10.84,31,115833
6037199400,"Census Tract 1994, Los Angeles County, California",4962,4962,1335,209,45,1219,0,1979,175,26.9,4.21,0.91,24.57,0,39.88,3.53,32,52211
6037199700,"Census Tract 1997, Los Angeles County, California",2940,2940,611,129,40,450,0,1545,165,20.78,4.39,1.36,15.31,0,52.55,5.61,31,39671
6037199801,"Census Tract 1998.01, Los Angeles County, California",3740,3740,602,16,38,1245,0,1797,42,16.1,0.43,1.02,33.29,0,48.05,1.12,31,53672
6037199802,"Census Tract 1998.02, Los Angeles County, California",2207,2207,514,0,70,1223,0,300,100,23.29,0,3.17,55.41,0,13.59,4.53,30,47409
6037199900,"Census Tract 1999, Los Angeles County, California",2540,2540,656,0,0,422,0,1376,86,25.83,0,0,16.61,0,54.17,3.39,30,38088
6037201110,"Census Tract 2011.10, Los Angeles County, California",2331,2331,839,63,27,294,0,967,141,35.99,2.7,1.16,12.61,0,41.48,6.05,34,93990
6037201120,"Census Tract 2011.20, Los Angeles County, California",4085,4085,1035,43,96,277,0,2173,461,25.34,1.05,2.35,6.78,0,53.19,11.29,29,71992
6037201200,"Census Tract 2012, Los Angeles County, California",2791,2791,960,0,28,289,0,1120,394,34.4,0,1,10.35,0,40.13,14.12,31,55845
6037201301,"Census Tract 2013.01, Los Angeles County, California",3650,3650,1904,91,39,764,0,630,222,52.16,2.49,1.07,20.93,0,17.26,6.08,31,80288
6037201302,"Census Tract 2013.02, Los Angeles County, California",3882,3882,1016,247,8,1873,0,339,399,26.17,6.36,0.21,48.25,0,8.73,10.28,36,105373
6037201401,"Census Tract 2014.01, Los Angeles County, California",4458,4458,936,125,77,327,0,2632,361,21,2.8,1.73,7.34,0,59.04,8.1,30,56902
6037201402,"Census Tract 2014.02, Los Angeles County, California",4464,4464,1699,29,28,753,0,1500,455,38.06,0.65,0.63,16.87,0,33.6,10.19,32,59662
6037201501,"Census Tract 2015.01, Los Angeles County, California",5360,5360,1335,54,56,509,0,2824,582,24.91,1.01,1.04,9.5,0,52.69,10.86,30,72656
6037201503,"Census Tract 2015.03, Los Angeles County, California",3184,3184,979,28,56,222,0,1669,230,30.75,0.88,1.76,6.97,0,52.42,7.22,32,55731
6037201504,"Census Tract 2015.04, Los Angeles County, California",2061,2061,640,22,23,219,0,972,185,31.05,1.07,1.12,10.63,0,47.16,8.98,33,71058
6037201601,"Census Tract 2016.01, Los Angeles County, California",2401,2401,404,136,76,298,0,1207,280,16.83,5.66,3.17,12.41,0,50.27,11.66,40,52115
6037201602,"Census Tract 2016.02, Los Angeles County, California",2936,2936,665,0,36,387,0,1650,198,22.65,0,1.23,13.18,0,56.2,6.74,32,72250
6037201700,"Census Tract 2017, Los Angeles County, California",5029,5029,1321,369,28,1044,8,1650,609,26.27,7.34,0.56,20.76,0.16,32.81,12.11,30,66159
6037203100,"Census Tract 2031, Los Angeles County, California",4576,4576,1174,128,11,151,0,2632,480,25.66,2.8,0.24,3.3,0,57.52,10.49,34,44375
6037203200,"Census Tract 2032, Los Angeles County, California",5339,5339,1570,45,48,41,0,3117,518,29.41,0.84,0.9,0.77,0,58.38,9.7,31,64474
6037203300,"Census Tract 2033, Los Angeles County, California",1863,1863,607,170,54,119,0,622,291,32.58,9.13,2.9,6.39,0,33.39,15.62,33,55950
6037203500,"Census Tract 2035, Los Angeles County, California",3048,3048,1276,77,26,643,0,819,207,41.86,2.53,0.85,21.1,0,26.87,6.79,29,42946
6037203601,"Census Tract 2036.01, Los Angeles County, California",2694,2694,683,11,93,0,0,1414,493,25.35,0.41,3.45,0,0,52.49,18.3,29,43341
6037203602,"Census Tract 2036.02, Los Angeles County, California",1844,1844,736,48,0,57,0,991,12,39.91,2.6,0,3.09,0,53.74,0.65,29,61179
6037203710,"Census Tract 2037.10, Los Angeles County, California",3516,3516,1444,15,88,15,0,1774,180,41.07,0.43,2.5,0.43,0,50.46,5.12,33,66964
6037203720,"Census Tract 2037.20, Los Angeles County, California",3882,3882,937,0,219,40,73,2389,224,24.14,0,5.64,1.03,1.88,61.54,5.77,33,51495
6037203800,"Census Tract 2038, Los Angeles County, California",4637,4637,1225,25,307,86,0,2763,231,26.42,0.54,6.62,1.85,0,59.59,4.98,28,44968
6037203900,"Census Tract 2039, Los Angeles County, California",3181,3181,676,0,35,73,0,2288,109,21.25,0,1.1,2.29,0,71.93,3.43,30,66289
6037204110,"Census Tract 2041.10, Los Angeles County, California",3372,3372,588,32,2,16,0,2357,377,17.44,0.95,0.06,0.47,0,69.9,11.18,31,70026
6037204120,"Census Tract 2041.20, Los Angeles County, California",2638,2638,931,25,19,16,0,1578,69,35.29,0.95,0.72,0.61,0,59.82,2.62,28,62458
6037204200,"Census Tract 2042, Los Angeles County, California",3459,3459,1252,13,0,127,0,1918,149,36.2,0.38,0,3.67,0,55.45,4.31,32,42162
6037204300,"Census Tract 2043, Los Angeles County, California",5357,5357,1932,19,23,81,0,2948,354,36.06,0.35,0.43,1.51,0,55.03,6.61,32,55449
6037204410,"Census Tract 2044.10, Los Angeles County, California",2633,2633,586,0,5,22,0,1823,197,22.26,0,0.19,0.84,0,69.24,7.48,31,59712
6037204420,"Census Tract 2044.20, Los Angeles County, California",3088,3088,722,118,140,17,0,1958,133,23.38,3.82,4.53,0.55,0,63.41,4.31,31,41915
6037204600,"Census Tract 2046, Los Angeles County, California",4092,4092,1229,56,16,134,0,1719,938,30.03,1.37,0.39,3.27,0,42.01,22.92,38,44375
6037204700,"Census Tract 2047, Los Angeles County, California",5224,5224,1862,47,55,46,0,2920,294,35.64,0.9,1.05,0.88,0,55.9,5.63,31,58631
6037204810,"Census Tract 2048.10, Los Angeles County, California",4947,4947,1762,50,44,8,0,2712,371,35.62,1.01,0.89,0.16,0,54.82,7.5,30,48961
6037204820,"Census Tract 2048.20, Los Angeles County, California",2242,2242,580,38,45,21,0,1328,230,25.87,1.69,2.01,0.94,0,59.23,10.26,28,54423
6037204910,"Census Tract 2049.10, Los Angeles County, California",3162,3162,1314,22,10,17,0,1458,341,41.56,0.7,0.32,0.54,0,46.11,10.78,32,43717
6037204920,"Census Tract 2049.20, Los Angeles County, California",2535,2535,871,14,5,0,0,1444,201,34.36,0.55,0.2,0,0,56.96,7.93,31,69125
6037205110,"Census Tract 2051.10, Los Angeles County, California",3478,3478,945,25,19,56,0,2287,146,27.17,0.72,0.55,1.61,0,65.76,4.2,29,49750
6037205120,"Census Tract 2051.20, Los Angeles County, California",3641,3641,899,84,6,5,0,1939,708,24.69,2.31,0.16,0.14,0,53.25,19.45,27,31454
6037206010,"Census Tract 2060.10, Los Angeles County, California",3864,3864,1008,82,0,1207,0,1483,84,26.09,2.12,0,31.24,0,38.38,2.17,33,46250
6037206020,"Census Tract 2060.20, Los Angeles County, California",10614,10614,2772,3693,169,359,44,2227,1350,26.12,34.79,1.59,3.38,0.41,20.98,12.72,38,116500
6037206050,"Census Tract 2060.50, Los Angeles County, California",2194,2194,525,69,33,124,0,1003,440,23.93,3.14,1.5,5.65,0,45.72,20.05,31,41750
6037206051,"Census Tract 2060.51, Los Angeles County, California",1197,1197,930,16,0,170,0,47,34,77.69,1.34,0,14.2,0,3.93,2.84,25,123947
6037206052,"Census Tract 2060.52, Los Angeles County, California",3065,3065,972,200,0,1298,55,263,277,31.71,6.53,0,42.35,1.79,8.58,9.04,36,102966
6037206053,"Census Tract 2060.53, Los Angeles County, California",2973,2973,926,136,71,319,0,1440,81,31.15,4.57,2.39,10.73,0,48.44,2.72,31,34118
6037206054,"Census Tract 2060.54, Los Angeles County, California",2397,2397,503,19,0,423,0,1245,207,20.98,0.79,0,17.65,0,51.94,8.64,29,55250
