Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A09003_001
"06037104201","Census Tract 1042.01, Los Angeles County, California","ACSSF","ca","140","00","0004222",,,,,"06","037",,,"104201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104201","Census Tract 1042.01",,,,4599,10926.88,0.420888822650916,4599,1629,560,60,14,0,1772,564,4599,615,27,560,19,9,0,0,0,3984,1602,0,41,5,0,1772,564,33
"06037104203","Census Tract 1042.03, Los Angeles County, California","ACSSF","ca","140","00","0004223",,,,,"06","037",,,"104203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104203","Census Tract 1042.03",,,,5178,18942.32,0.273356092769542,5178,2465,297,81,19,0,1463,853,5178,419,89,288,0,19,0,23,0,4759,2376,9,81,0,0,1440,853,32
"06037104204","Census Tract 1042.04, Los Angeles County, California","ACSSF","ca","140","00","0004224",,,,,"06","037",,,"104204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104204","Census Tract 1042.04",,,,3749,3649.51,1.0272611301674,3749,1985,204,64,195,0,686,615,3749,812,328,204,41,195,0,0,44,2937,1657,0,23,0,0,686,571,30
"06037104310","Census Tract 1043.10, Los Angeles County, California","ACSSF","ca","140","00","0004225",,,,,"06","037",,,"104310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104310","Census Tract 1043.10",,,,4875,8369.359,0.582481849336754,4875,1824,117,0,4,0,2116,814,4875,345,96,111,0,4,0,121,13,4530,1728,6,0,0,0,1995,801,29
"06037104321","Census Tract 1043.21, Los Angeles County, California","ACSSF","ca","140","00","0004226",,,,,"06","037",,,"104321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104321","Census Tract 1043.21",,,,3115,15519.29,0.200717918384178,3115,1311,97,0,9,0,1026,672,3115,218,30,97,0,9,0,53,29,2897,1281,0,0,0,0,973,643,34
"06037104322","Census Tract 1043.22, Los Angeles County, California","ACSSF","ca","140","00","0004227",,,,,"06","037",,,"104322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104322","Census Tract 1043.22",,,,1892,7078.105,0.267303168972211,1892,927,18,2,30,0,778,137,1892,176,99,18,2,30,0,0,27,1716,828,0,0,0,0,778,110,30
"06037104401","Census Tract 1044.01, Los Angeles County, California","ACSSF","ca","140","00","0004228",,,,,"06","037",,,"104401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104401","Census Tract 1044.01",,,,3066,11658.65,0.26298075512319,3066,1456,31,13,32,6,1340,188,3066,166,103,31,0,32,0,0,0,2900,1353,0,13,0,6,1340,188,29
"06037104403","Census Tract 1044.03, Los Angeles County, California","ACSSF","ca","140","00","0004229",,,,,"06","037",,,"104403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104403","Census Tract 1044.03",,,,2724,10179.34,0.267600853749129,2724,1131,0,0,204,0,1016,373,2724,247,43,0,0,204,0,0,0,2477,1088,0,0,0,0,1016,373,24
"06037104404","Census Tract 1044.04, Los Angeles County, California","ACSSF","ca","140","00","0004230",,,,,"06","037",,,"104404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104404","Census Tract 1044.04",,,,3413,16381.21,0.20834845566852,3413,1398,0,14,79,0,1425,497,3413,156,77,0,0,79,0,0,0,3257,1321,0,14,0,0,1425,497,32
"06037104500","Census Tract 1045, Los Angeles County, California","ACSSF","ca","140","00","0004231",,,,,"06","037",,,"104500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104500","Census Tract 1045",,,,3119,15213.07,0.20502102712445,3119,1294,1,7,1,0,1031,785,3119,91,70,1,7,1,0,6,6,3028,1224,0,0,0,0,1025,779,29
